synonyymit|hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1|Sarake2|Sarake3|Sarake4|Sarake5|Sarake6|||||
hämästuda|diividakse|d'iivi/dakse, -mös|v. refl.||дивиться, удивляться|ihmetellä|d'iivimös (RKS)|дивимёс|дивлюсь|ihmettelen|||||||||||
|divan|d'ivan (RKS)|s.|диван|диван|sohva|||||||||||||||
|diä|d'iä, -n, -d; -id|s.|дия|лёд|jää|||||||||||||||
|diäd’|d'iäd'ö; (V) d'iäd'/ö ~ d'iäd'/e, -än, -äd|s.|диядё|дядя|setä, eno|||||||||||||||
|diäj|d'iäj (RKS)|s.|дияй|остаток|jäännös|||||||||||||||
|diäkker’|d'äkkeri (RKS)|s.|дяккэри|якорь|ankkuri|d'iäkkeri nuoran kerä (LMS 32)||якорь с канатом|kiviriippa nuorineen|||||||||||
|diävidakse|d'iävi/däkse, -mös|v. refl.||||d'iävimös (RKS)|дявимёс|являюсь|ilmestyn|||||||||||
iäneh|d'aune|d'aune|adv.|дяунэ|вслух, явно|ääneen|||||||||||||||
|diädä|d'iä/dä, -n, -in|v.||оставаться, остаться|jäädä|d'iä terveheks!||до свидания! (остающемуся)|jää terveeksi!, näkemiin!|||||||||||
|diädä||v.||||d'iägät terveheks!||до свидания! (остающимся)|jääkää terveeksi!, näkemiin!|||||||||||
|dobroi|dobruoi (RKS)|a.|добруой|добрый|hyvä|||||||||||||||
|d'ogi|d'og/i, -en, -ed; -id|s.|дёги|река|joki|||||||||||||||
matk, tie|dorog|dorog, -an, -ad; -uoid|s.|дорог|дорога, путь|tie, matka|(Pn) müö tulimme sidä dorogad müöti (OLR 46)||мы пришли по той дороге|me tulimme sitä tietä pitkin|||||||||||
dorog|matk|matk/e, -an, -ad; -uoid|s.||путь, странствие|matka|||||||||||||||
kiišk, kiiškine|d'orš|d'oršši, -n, -d|s.|дёрши|ёрш|kiiski|||||||||||||||
laud|dosk|dosk/e, -an, -ad|s.|доскэ|доска, грифельная доска (RKS)|taulu|||||||||||||||
|d'oučim|d'oučen, -te; (V) d'ouče/n', -nen, -nd|s.|дёученъ ~ дёучэнъ|лебедь|joutsen|||||||||||||||
|d'ouk|(V) d'ou/kk, -kon, -kkod|s.||||||||||||||||||
|drobu|drobu|s.|дробу|дробь|haulit|||||||||||||||
|droškad|droškat (RKS)|s. mon.|дрожкат|дрожки|ajurinrattaat|||||||||||||||
|droždid|drožžit  (RKS)|s. mon.|дрожжит|дрожжи; опара|hiiva; hiivat|||||||||||||||
|druug|druugu (RKS)|s.|другу|друг|ystävä|||||||||||||||
raudkera|d'uadr|d'uadr/e, -an, -ad (RKS)|s.|дюадрэ|ядро|kuula|||||||||||||||
tupehtuttada|duavida|duavi/da, -n, -in|v.|||kuristaa, lyödä, pieksää|duavin (RKS)|дуавин|давлю, душу; мучу|kuristan; painostan|||||||||||
batog, kepp, pualik, savak|dubin|dubin, -an, -ad (RKS)|s.|дубин|дубина|nuija|||||||||||||||
|d'upk|d'upk/e ~ jupk/e (RKS), -an, -ad|s.|юбкэ|юбка|hame|||||||||||||||
|D'umal|d'umal (OFM) ~ n'umal (RKS, LMS 37), -an, -ad|s.|Нюмал|Бог|Jumala; pyhimyksenkuva|d'umal elävüi ||Бог воскрес|Jumala nousi kuolleista|||||||||||
|D'umal||s.||||(Pn) kouz lähtimme pogostal da n'umaloih mänimme  (OLR 46)||когда мы отравлялись из погоста и шли на богомолье|kun lähdimme kirkonkylästä ja menimme rukoilemaan|||||||||||
|D’umalaine|D’umala/ine, -ižen, -šte; -ižid|s. dem.||Боженька, Господи|armelias Jumala, Jumalani|d'umalaine kuldaine, abuta minule! (TTV) loits.||Боженька золотой, помоги мне!|Jumalani kultainen, auta minua!|||||||||||
|d'uoksendelta||v. frekv.|||juoksennellä|d'uoksendelen (RKS)|дюоксэндэлэн|бегаю|juoksentelen|||||||||||
|d'uomine|d'uomi/ne, -žen, -šte; -žid (RKS)|s. dem.|дюоминэ|пойло|juoma|||||||||||||||
|d'uomoi|d'uom/uoi, -uoin, -uoid; -oluoid; (TP, V) d'uomoi|s.|дюомуой|голубика|juolukka|||||||||||||||
|d'uosta|d'uo/sta, -ksen, -ksin|v.||||d'uoksen (RKS)|дюоксэн|бегу|juoksen|||||||||||
|durak|dura/kke, -kan, -kkad; -kuoid|s.|дураккэ|дурак|tyhmä, hullu|||||||||||||||
tamm|duub|duub/e, -an, -ad; -id|s.|дубэ|дуб|tammi|||||||||||||||
|duuh|duuhu|s.|духу|запах|haju|||||||||||||||
duumaida|duumaita|duumai/ta, -čen, -čin|v.||думать|ajatella, miettiä, arvella|duumaičen (RKS)|думайчен|думаю, задумываюсь|ajattelen, vaivun ajatuksiini|||||||||||
|duumaita||v.||||duumaičin (RKS)|думайчин|я вздумал|ajattelin, mietin|||||||||||
duumaita|duumaida|(V) duumai/da, -n, -in|v.||||||||||||||||||
|d'uur’|d'uu/ri, -ren, -rde ~ (Lm) -rte; -r'id|s.|дюури|корень|juuri|hambahiden d'uuret (RKS)|дюурэт гамбагидэн|корни зубов|hampaiden juuret|||||||||||
dvirčad, päččlaud|dverčikad|dverčikät (RKS)|s. mon.|дверчикят|дверцы|uuninsuupellit|||||||||||||||
päččlaud|dvirčad|dvercad|s. mon.||дверцы|uuninsuupellit|||||||||||||||
piha, verai, tahn|dvora|dvora (RKS)|s.|двора|двор|piha|||||||||||||||
|düged|d'üged|a.|дюгэд|тяжелый|raskas, vaikea, painava|||||||||||||||
|dürk|d'ürk/e, -än, -äd|a.|дюркэ|крутой (гора)|jyrkkä|d'ürkäd mäged (RKS)|дюрькят мягэд|обвалы|jyrkät mäet|||||||||||
|dürü|(Lm, V) d'ürü, -n, -d|s.|дюрю|гром|jyry, jyrinä|(Ka) d'ürü d'ürižou, tult iškou||гром гремит, молнией бьёт|ukkonen jyrisee, salama iskee|||||||||||
maland', strela|dürütaut|(Lm) d'ürü/tautte (LMS 41)|s. yhd.||божья стрела, молния|ukonvaaja, salama|(Lm) d'ürütautte moah kirbon'i taivahas (LMS 41)||божья стрела упала в землю с неба|ukonvaaja putosi maahan taivaasta|||||||||||
d’uraita|d’urišta|(Ka, V) d’üri/šta, -žou ~ (TP) -žöu|v.||греметь, громыхать, грозить|jyristä (rattaat, ukkonen)|(Ka) d'ürü d'ürižou, tult iškou||гром гремит, молнией бьёт|ukkonen jyrisee, salama iskee|||||||||||
|düvä|d'üv/ä, -än, -äd; -id|s.|дювя|зерно|jyvä|kui tämä d'üvä puuttuu muah (TTV) loits.||как это зерно попадает в землю|kuin tämä jyvä joutuu maahan|||||||||||
|däič|d'äi/čče, -čän, -ččäd (OFM)|s.|дяйчэ|яйцо|muna|||||||||||||||
|dälges|d'älges|adv.-prep.|дялгэс|после|jälkeen|d'älges voinad ||после войны|sodan jälkeen|||||||||||
|dälges||adv.-prep.||||s'ina pezetökse d'älgez minud ||ты будешь мыться после меня|sinä peseydyt minun jälkeeni|||||||||||
däniž|dänöi|d'än/üöi, -üöin, -üöid; -ölüöid; (V) d'än'/üöi, -üöin, -üöid; -ölöid|s.|дянюёй|заяц|jänis|||||||||||||||
sanged|däred|d'äre/d ~ -i, -dän, -däd; -d'id ~ (TP) -diid|a.|дярэд|толстый|paksu|||||||||||||||
|därv|d'ärv/i, -en, -ed; -id|s.|дярви|озеро|järvi|Pelduoižen d'ärvi ||Пелдожское озеро|Peltoisen järvi|||||||||||
|därv||s.||||(Ka) d'ärves pia||из озера|järvestä|||||||||||
|eččida|eččida, ečin, ečiin|v.||||ečin (RKS)|эчин|ищу|etsin|||||||||||
|evä|(TP) ev/ä, -än, -äd; -id|s.||||(TP) kala ujuu evil||рыба плывёт с помощью плавников|kala liikkuu evillä|||||||||||
|eväz|(TP) evä/z, -hän; -hiden, -hid|s.||провизия (в дорогу)|eväs, matkaeväs|||||||||||||||
|edel|edel|adv.-adp.|эдэл|впереди, вперёд (RKS)|edellä|||||||||||||||
|eht|eht/e, -än ~ (Ka, V) -an|s.|эхтэ|вечер|ilta, ehtoo|||||||||||||||
|ehtal|ehtäl ~ (Ka) ehtau (OFM) ~ (V) ehtal (LMS 46)|s.||вечером|illa|ei ole n'iittud||нет покоса|ei ole niittyä|||||||||||
|ehtaižel|(V) ehtaižel|adv.||||||||||||||||||
|ehtaine|(V) ehta/in'e, -ižen|s. dem.||||||||||||||||||
|ehtida|eht'i/dä, -n, -in|v.||||eht'in (RKS)|эхтин|успеваю|ehtin|||||||||||
ala|ei|ei, en, ed, emme, ette, ei|kieltov.||не|ei, eivät |minä en rod'inuh Vield'ärves ||я родился не родился в Ведлозере|minä en ole syntynyt Vieljärvellä|||||||||||
|ei||kieltov.||||ei ole n'iittud||нет покоса|ei ole niittyä|||||||||||
|ei||kieltov.||||ei ole muad||нет земли|ei ole maata|||||||||||
|ei||kieltov.||||(Lm) sigä ei ole kalmižimad||там нет кладбища|siellä ei ole kalmistoa|||||||||||
|ei||kieltov.||||hüö ei voida tulda||они не могут прийти|he eivät voi tulla|||||||||||
|ei||kieltov.||||ei voidu eläi ühtes||не могли жить вместе|eivät voineet elää yhdessä|||||||||||
|ei||kieltov.||||(TP) štobi ei nähtäs ni ken||что не видели никто|jottei kukaan näkisi|||||||||||
d'ouk|ekipaž|ekipaž (RKS)|s.|экипаж|экипаж|ekipaasi, vaunut|il’l’ampäi on tošt päid elokuud||Ильин день второго августа|Elian päivä on elokuun toisena päivinä|||||||||||
opind|ekzamen|ekzamen (RKS)|s.|экзамен|экзамен|tentti|||||||||||||||
august|elokuu|elo/kuu|s. yhd.||август|elokuu|||||||||||||||
|eläda|elädä (LMS 47) ~ eläi (OFM), elän, elin|v.||жить |elää; asua|hüvä eläi!||хорошо жить!|elämä on hyvä!|||||||||||
|eläda||v.||||hüvin eläi||хорошо жить|hyvin elää|||||||||||
|eläda||v.||||ei voidu eläi ühtes||не могли жить вместе|eivät voineet elää yhdessä|||||||||||
|eläda||v.||||elän (RKS)|элян|живу|elän, asun|||||||||||
|eläda||v.||||kala eläu (RKS)|кала эляу|рыба плещется (играет)|kala elää|||||||||||
|eläda||v.||||hänen vunukke eläu Tuuksas||его внук живёт в Туксе|hänen lapsenlapsensa asuu Tuuksankylässä|||||||||||
|eläda||v.||||sigä elettih ||там (они) жили|siellä asuivat|||||||||||
|eläda||v.||||elägät ~ elägätte hüvin!||живите хорошо!|eläkää hyvin!|||||||||||
|eläj|eläj (RKS)|s.|эляй|житель|asukas|||||||||||||||
|eländ|eländ/e, -än, -äd (RKS)|s.|эляндэ|жизнь|elämä|||||||||||||||
|eläv|elä/u, -vän, -väd (RKS)|a.|эляу|живой|elävä|||||||||||||||
|emäpuu|emä/puu|s. yhd.||киль|emäpuu (veneen), köli|||||||||||||||
emäč|emäv|(Lm) emävö|s.||подхвостница |synnytinreikä (lehmän)|||||||||||||||
|endiželleh|end'iželle (RKS) ~ (V) -h|adv.|эндижеллэ|по-старому|entisellään|||||||||||||||
|fabrik|fabri/kke, -kan, -kkad; -kuoid (RKS)|s.|фабриккэ|фабрика|tehdas|||||||||||||||
huonuz|fater||s.||||toižele fat'ierale mänen (RKS)|тойжэлэ фатиералэ мянэн|перебираюсь на другую квартиру|muutan toiseen asuntoon|||||||||||
saraffon|ferezi|ferez'i ~ (TP) ferezi|s.|ферези|сарафан (RKS), ферязь|feresi|(TP) proimil on ferezi||сарафан на лямках|viilekkeilla varustettu on feresi|||||||||||
proim|lämč|(V) lämč/e, -än|s.||||||||||||||||||
lämč; proimad|lämčäd|(V) lämčäd|s. mon.||||||||||||||||||
lämčäd; proim|proimad|(TP) proim/ad, -id|s. mon.||лямки|viilekkeet, olkahihnat|(TP) proimil on ferezi||сарафан на лямках|viilekkeilla varustettu on feresi|||||||||||
|firkaida|firkai/da, -n, -n|v.||фыркать|pärskyä|firkain (RKS)|фыркаин|фыркаю|pärskyn|||||||||||
|fonar'|fonar'i|s.|фонари|фонарь|lyhty|||||||||||||||
torp|forel'|forer'i|s.||форель|forelli|forer'i puuttuu vie ||форель попадёт ещё|forellia saadaan vielä|||||||||||
|fufaik|fufai/kke, -kan, -kkad; -kuoid (RKS)|s.|фуфайкэ|фуфайка|pusero; toppatakki|||||||||||||||
|funt|funte (RKS)|s.|фунтэ|фунт|naula|||||||||||||||
|furašk|furašk/e, -an, -ad|s.|фуражкэ|фуражка|lippalakki|||||||||||||||
gadaida|gadaita|gadai/da, -čen, -čin (LMS 53)|v.||||gadaičen (RKS)|гадайчэн|гадаю|povaan|||||||||||
|garbal|garbalo, -n, -d|s.|гарбало|клюква|karpalo|||||||||||||||
sanumleht'|gazet|gaze/tte, -tan, -ttad; -tuoid|s.|газеттэ|газета|sanomalehti|||||||||||||||
giirad|giir|giir/e, -än, -äd|s.|гирэ|гиря|punnus|||||||||||||||
giir|giirad|giirät (RKS)|s. mon.|гирят|гири|punnukset|||||||||||||||
piä-|glaunoi|glavnuoi (RKS)|a.|главнуой|главный|pää-|||||||||||||||
|gnied|gniede (RKS)|a.|гниэдэ|гнедой|ruunikko|||||||||||||||
küühköi|golub|golub, -an, -ad|s.|голубъ|голубь|kyyhkynen|||||||||||||||
|gorbul'|gorbul'/i, -in, -id; -iid|s.|горбули|горбыль, горб в тёсе (RKS)|pintalauta, kelles|||||||||||||||
|gorelk|gorelk/e, -an (RKS)|s.|горелкэ|горелка|poltin|||||||||||||||
huoneh|gornič|gorn'i/čče, -čan, -ččad (RKS)|s.|горниччэ|горница, комната (RKS)|kamari, vierashuone, huone|||||||||||||||
|gor'a|gor'/a, -an, -ad; -id|s.||||||||||||||||||
|gor'a|gor'/a, -an, -ad; -id|a.||||||||||||||||||
|gor'uita|gor'ui/ta, -čen, -čin|v.||горевать|murehtia|gor'uičen (RKS)|горюйчэн|горюю|murehdin|||||||||||
adiv|gost’|gos/t’e ~ -te (RKS), -t'an, -t'ad; -t'id|s.|гостэ|гость|vieras|||||||||||||||
|grafin|grafin, -an, -ad|s.|графин|графин|karahvi|||||||||||||||
|grečč|gre/čču, -čun, -ččud; -čuid (RKS)|s.|греччу|греча|tattari, tatterisuurimot|||||||||||||||
siened|gribad|grib/ad, -uoiden, -uoid|s. mon.|грибад|грибы|tatit, sienet|kerätäh, gribat kerätäh ||собирают, грибы собирают|kyllä sieniä kerätään|||||||||||
sien'|griba|grib/a, -an, -ad; -uoid|s.||гриб|tatti, sieni|gribad on äij ||грибов много|sieniä on paljon|||||||||||
|groba|grob/a, -an, -ad|s.|гроба|гроб|arkku, ruumisarkku|||||||||||||||
groša, tühd'|grošš|grošše|s.|грошшэ|грош|puolen kopeekan raha, puolikopeekkainen|||||||||||||||
|grozida|grozi/da, -n|v.||стращать, угрожать|uhata, uhkailla, pelotella|grozin (RKS)|грозин|стращаю|uhaan, uhkailen|||||||||||
|gruboi|grubuoi (RKS)|a.|грубуой|грубый|karkea, tökerö|||||||||||||||
|grüüh|gr'uuh/e, -an|s.|грюхэ|рюха|kyykkä|||||||||||||||
vago|grätk|gr'atke (RKS)|s.|грядкэ|грядка|kasvipenkki, penkki|||||||||||||||
kuar, laht', lahtuk|guba|gub/a, -an, -ad; -id|s.|губа|губа, залив|lahti|||||||||||||||
|guik|gui/kke ~ kui/kke, -kan, -kkad|s.|гуйкэ|гагара|kuikka|||||||||||||||
|gurb|gurb/e, -an, -ad; -id; (AV) gurb|s.|гурбэ|горб|kyttyrä|||||||||||||||
haikosteltakse|haikostelta||v. frekv.||зевать, позёвывать|haukotella (jatkuvasti)|(Lm) haikosteli (LMS 59)||он позёвывал|hän haukotteli|||||||||||
haikostelta|haikosteltakse|(V) haikoste/ldakse, -lemos, -limos|v. frekv. refl.||зевать, позёвывать|haukotella (jatkuvasti)|||||||||||||||
haikostoittada|haikostuttada|(Lm)  haikostu/ttada, -ttau|v.||зеваться|haukotuttaa|(Lm) minud haikostuttau (LMS 59)||мне хочется зевать|minua haukotuttaa|||||||||||
haikostelta, haikostuda|haikostada|haikos/tai, -tan, -t'in|v.||зевать|haukotella|haikostan (RKS)|гайгостан|зеваю|haukottelen|||||||||||
|haiž|haižu|s.|гайжу|вонь|löyhkä, lemu, haju|||||||||||||||
|haižuda|haižu/da, -n, -in|v.||||haižun (RKS)|гайжун|воняю|haisen|||||||||||
|halat|hala/tte, -tan, -ttad; -toid|s.|халаттэ|халат|halatti, aamutakki|||||||||||||||
|halg|halg/o, -on, -od; -uoid|s.|галго|полено|halko, polttopuut|ielo halgod ||нет дров|ei ole polttopuita|||||||||||
|halg||s.||||äij halgod||много дров|paljon halkoja|||||||||||
|halgoine|halg/uoin’e, -ižen, -ošte|s. dem.||||||||||||||||||
|halgaita|halgai/ta, -dan|v. mom.||||halgaidan (RKS)|галгайдан|полю|kitken|||||||||||
|halgedelta||v. frekv.||||halgedelen (RKS)|галгэдэлэн|лопаю|halkeilen|||||||||||
|halgelmuz|halgelma/s, -ksen|s.|галгэлмас|трещина|halkeama, railo|||||||||||||||
halg|halgod|halg/od, -uoiden, -uoid|s. mon.|галгот|дрова|halot|||||||||||||||
huude|hall|hall/e, -an, -ad|s.|галлэ|иней|halla|||||||||||||||
|hambahaine|hambaha/ine, -ižen, -šte; -ižid (RKS)|s. dem.|гамбагайнэ|зубчик|hampainen|||||||||||||||
|hambahidend'uured|hambahiden/d'uuret (RKS)|s. yhd.|дюурэт гамбагидэн|корни зубов|hampaiden juuret|||||||||||||||
hambahad|hambaz|hamba/s, -han, -ste; -hiden, -hid|s.|гамбас|зуб|hammas|hambahiden d'uuret (RKS)|дюурэт гамбагидэн|корни зубов|hampaiden juuret|||||||||||
hambaz|hambahad|hamba/had ~ -t (RKS) -t, -hiden, -hid|s. yhd.|гамбагат|зубы|hampaat|hambahat pakoteta(h) (RKS)|гамбагат пакотэта|зубы болят|pakottaa hampaita|||||||||||
|hambahad||s. yhd.||||hambahiden d'uuret (RKS)|дюурэт гамбагидэн|корни зубов|hampaiden juuret|||||||||||
|hang I|hang/e, -an, -ad|s.||уключина|hanka (veneen), soututappi|||||||||||||||
|hanh|hanh/i, -en, -ed; -id|s.|ганги|гусь|hanhi|||||||||||||||
|hapanmaid|(Ph, SP) hapaim- ~ (Ph, Lm) hapai- (RKS) ~ (V) hapam/maido|s. yhd.|гапай-майдо|простокваша|viilipiimä|||||||||||||||
|hapannu|hapannuh (RKS)|a.|гапанну|гнилой|mädännyt|||||||||||||||
|hapata|ha/pata, -ppanen, -ppan'in; -ppanou, -ppan'i|v.||||happanen (RKS)|гаппанэн|гнию|mätänen|||||||||||
|harag|hara/kke, -kan, -kkad; -kuoid|s.|гараккэ|сорока|harakka|||||||||||||||
taba|harakter’|karakteri (RKS)|s.|карактэри|характер|tapa|||||||||||||||
|harav|(Lm) hara/u, -van, -vad|s.|гарау|грабли|harava|||||||||||||||
|haravoita|haravuoi/ta, -čen, -čin|v.||||haravoičen (RKS)|гаравойчэн|граблю (сено)|haravoin|||||||||||
|hard’|hard’/e, -an, -ad|s.|гардэ|грива; щеть |harja|||||||||||||||
|hard'od|hard'uoid ~ (Lm) hard'iid|s. mon.||||||||||||||||||
hard'od; olg I, olganpiä, olgpiä|hardij|(Lm) hard'ii, -n, -d|s.||плечо|hartia|||||||||||||||
hard'uz I|hard’us|harju()s)e (RKS)|s.|гарьюсэ|хариус|harjus, harri|||||||||||||||
|hard’uz I|(TP, V) hard'us|s.|гарьюсэ|хариус|harjus, harri|||||||||||||||
tarboda|hard'uttada|hard'u/ttai, -tan, -t'in|v.||тарбать|tarpoa|hard'utan (RKS)|ардютан|тарбаю|tarvon|||||||||||
harmag|huahk|huahk/e, -an, -ad|a.||серый|harmaa|(V) huahke lambaz||серая овца|harmaa lammas|||||||||||
