synonyymit|määrittely|hakusana|murremuodot|venäjännös|suomennos|1. esimerkki|venäjännös|suomennos|2. esimerkki|venäjännös|suomennos|||
|s.|čiganan-|čiganan-|цыганский|romani-|||||||||
|s.|čigananarttel’|čiganan/art’el’|табор|romanileiri|||||||||
|s.|čiganih|čigan’ih, -an, -ad|цыганка|romaninainen|||||||||
|s.|čiganoidenarttel’|čiganuun/art’el’|табор|romanileiri|||||||||
oigeta I, levittada|v.|čiihottada|čiiho/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|расставлять, растопыривать, протягивать|levittää, ojentaa|d’ielon keskes rabad i kuundel’ijad čiihotet’ihe käded, seišt’ihe i l’ämmištut’ihe kostran no (ND) kirj. |между тем рабы и служители протянули руки, стояли и грелись у костра|sillä välin orjat ja palvelijat ojensivat kädet, seisoivat ja lämmittelivät nuotion ääressä||||||
|s.|čiilahaine|čihla/an’e ~ s'ihla/an'e (PN), -ažen, -št; -ažiin, -ažiid|крапива|nokkonen|||||||||
|v.|čikettada|čike/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|щебетать|visertää, lavertaa, livertää|l’induin’e čiketab (KTK)|птичка щебечет|lintunen visertää||||||
|s.|cikl|cikl, -an, -ad; -uun, -uud|цикл|jakso, sarja, sykli|||||||||
|s.|ciklon|ciklon, -an, -ad|циклон|sykloni, pyörremyrsky|||||||||
|v.|čilkaita|čilkaa/ta, -dab, -ž ~ -žii; -taze, -t’ihe (IL)|чокать|kilistää|||||||||
|s.|cink|cink, -an, -ad; -uun, -uud|цинк|sinkki|||||||||
|s.|čirčetand|čirčetand, -an, -ad|щебет|viserrys, liverrys|||||||||
|v.|čirišta|čir’i/šta, -žob, -ž ~ -žii; -štaze, -št'ihe|щебетать|visertää; lavertaa; livertää|||||||||
|s.|cirk|cirk, -an, -ad; -uun, -uud|цирк|sirkus|||||||||
|v. mom.|čirknida|čirkn'i/da, -b, -i; -taze, -t’ihe|чиркнуть|raapaista, riipaista|||||||||
|v.|čirkoita|čirkuuta|чирикать|sirkuttaa, tirskuttaa, tirskua, sirittää|||||||||
lugu, päivlugu|s.|čisl|čisl, -an, -ad; -uun, -uud|число|päivämäärä, luku|||||||||
|s.|citat|citat, -an, -ad; -uun, -uud|цитата|sitaatti, lainaus|||||||||
člena|s.|člien|čl'ien, -an, -ad; -uun, -uud (IL)|член (организации)|jäsen|||||||||
člien|s.|člena|čl'en/a, -an, -ad, -ks; -uun, -uud (OF)|член (организации)|jäsen|čl'enaks pr'iimit'ihe 1927 vuoden (OF) kirj.|в члены приняли в 1927 году|jäseneksi hyväksyttiin vuonna 1927||||||
čoma|a. dem.|čomaine|čoma/an’e, -ažen, -št|красивенький|kaunis|l’iigan čomaan'e|чересчур красивенький|liian kaunis||||||
|adv.|čomas(ti)|čoma/s ~ -šti (LÄ1 84)|красиво|kauniisti, kaunista|čomas s’el’ginuze|разодетый, разодевшийся|kauniisti pukeutunut||||||
|v.|čomendoittada|čomenduu/tta, -tab, -t’ ~ -t’ii|украсить|koristaa, kaunistaa|||||||||
|s.|čomenduz|čomendu/z, -sen, -st; -s’iin, -s’iid|украшение|koristus|||||||||
|s.|čomuz|čomu/z, -sen, -st; -s’iin, -s’iid|красота, краса|kauneus|||||||||
|s.|čortan-|čortan-|чёртов|pirun-|||||||||
lugeda|v.|čotaida|čota/ada, -ab, -a; -ataze, -at’ihe|считать|laskea|||||||||
|s. yhd.|cuarinakk|cuar’in/akk|царица|tsaaritar|||||||||
|s. yhd.|cuarinpoig|cuar’im- ~ suar’im/poig|царевич|tsaarin poika|||||||||
|s. yhd.|cuarintütär|cuar’in- ~ suar’in/t’ütar|царевна|tsaarin tytär|||||||||
|s.|cuarstv|cuarstv, -an, -ad|царство|valtakunta|||||||||
|s.|čuašk|čuašk, -an, -ad|чашка|kuppi|panda čuašk|пославить чашку|panna kuppi||||||
|s.|čuasuidenkohendaj|čuasuin/kohendaj|часовщик|kelloseppä|||||||||
čuas|s. dem.|čuasuine|(Pal) čuas/uun’e, -uužen, -ušt|часик|tunti (pieni)|||||||||
kuva, lindunkuva, tedrenkuva|s.|čučal|čučal; mon. -uun ~ -uon, -uud ~ -uod|чучело|houkutinlintu, linnunkuva|(Js) ištuihe sinna čučaluol'e (OF)|засел туда за чучела|asettui sinne linnunkuville||||||
|adv.|čukkeloh|čukloho|под воду|pinnan alle|mända čukloho|нырнуть|sukeltua||||||
|v. refl.|čukurtakse|čukur/takse, -daze|целоваться|suudella toisiaan|||||||||
|s.|čupun-|čupun-|угловой|nurkka-|||||||||
|v.|čurčettada|čurče/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|журчать|solista, lorista, liristä|||||||||
|s.|čurčetuz|čurčetu/z, -sen, -st; -s’iin, -s’iid|журчание|solina, lorina, lirinä|||||||||
pulčuk|s.|čurk|čurk, -an, -ad; -iin, -iid|чурка, чурбан|pölkky|käded oma ku čurkad |руки как чурки|kädet ovat niin kuin pölkyt||||||
|v.|čustvuida|čustvu/ida, -ib, -i; -itaze, -it'ihe|чувствовать|tuntea|||||||||
|s.|čuud|čuud|чудо|ihme|||||||||
karv, muju|s.|cviet|cviet, -an, -ad|цвет|väri|||||||||
d'ablukpuu|s.|d’ablon’|d’ablon’, -an, -ad; -iin, -iid|яблоня|omenapuu|||||||||
|s.|d’abluk|d’ablok, -an, -ad|яблоко|omena|||||||||
|a.|d’ablukkahine|d’ablokahi/in’e, -ižen, -št; -ižiin, -ižiid|яблочный|omena-|||||||||
|v.|d’agada|d’agada, d'agab, d'aguu|делить, раздавать|jakaa|||||||||
|a.|d’agamatoi|d’agamat/uu, -oman, -omad; -omiin, -omiid|неделимый|jakamaton|||||||||
|s.|d’agamine|d’agami/in’e, -ižen, -št; -ižiin, -ižiid|деление|jakaminen|||||||||
|s.|d’agand|d’agand, -an, -ad|делёж, раздача|jakelu|||||||||
d'agarduz|s.|d’agard|d’agard|пробор|jakaus (päässä)|||||||||
|s.|d’ago|d’ag/o, -on, -od; -uun, -uud|разделение|jako|||||||||
|s.|d’alg-|d’aug-|ножной|jalka-|||||||||
|s. yhd.|d’alganpohd’|d’augam/pohd’|стопа|jalanpohja|||||||||
d’armankad|s.|d’armank|d’armank ~ jarmark (IL), -uun ~ -uon, -uud ~ -uod|ярмарка|markkina(t)|a vot n’ikkomiin pruazdn’ikuon, ku Veder’ist’im da Suur’ pruazdn’ik s’ügüz’il, ol’d’ihe ül’en suured d’armankad (OF) kirj.|а вот на такие праздники, как Крещение да Великий праздник осенью, были очень большие ярмарки |vaan sellaisina juhlina, kuin loppiainen ja suuri juhla syksyllä, oli hyvin suuria markkinoita||||||
d’armank|s. mon.|d’armankad|d’armank/ad (OF), -uun ~ -uon, -uud ~ -uod|ярмарки|markkinat|a vot n’ikkomiin pruazdn’ikuon, ku Veder’ist’im da Suur’ pruazdn’ik s’ügüz’il, ol’d’ihe ül’en suured d’armankad (OF) kirj.|а вот на такие праздники, как Крещение да Великий праздник осенью, были очень большие ярмарки |vaan sellaisina juhlina, kuin loppiainen ja suuri juhla syksyllä, oli hyvin suuria markkinoita||||||
lipaz, vakk|s.|d’aššik|d’aššik, -an, -ad; -uun, -uud|ящик; кузов (в телеге)|laatikko, kori (vankkurissa)|||||||||
vakk|s.|korob|korob, -an, -ad; -uun, -uud (KTK)|короб, кузов (в телеге)|koppa, kori (vankkurissa)|||||||||
vakk|s.|kuzov|kuzov, -an, -ad; -uun, -uud (KTK)|кузов (в машине)|koppa, kori (autossa)|||||||||
kierduz|s.|d’ataž|etaž, -an, -ad; -uun, -uud|этаж|kerros (rakennuksessa)|||||||||
|a.|d’auhoksine|d’auhos’i/in’e, -ižen, -št; -ižiin, -ižiid|мучный|jauho-|||||||||
|s.|d’auhond|d’auhond, -an, -ad|размол|jauhaminen|||||||||
melličankivi|s. yhd.|d’auhondkivi|d’auhont/kivi|жернов|käsikivet|||||||||
*-kuine|a. yhd.|d’ogakuine|d’oga/kuin’e|ежемесячный|jokakuukautinen, kuukausittainen|||||||||
|a. yhd.|*-kuine|*-kui/n’e, -žen, -št; -žiin, -žiid|*-месячный|*-kuukautinen, *-kausittainen, kuukausi-|d’ogakuin’e|ежемесячный|jokakuukautinen, kuukausittainen||||||
|a. yhd.|*-nedaliine|*-n’edal’i/in’e, -ižen, -št; -ižiin, -ižiid|*-недельный|*-viikkoinen|d’ogan’edal’iin’e|еженедельный|jokaviikkoinen, viikottainen||||||
*-nedaliine|a. yhd.|d’oganedaliine|d’oga/n’edal’iin’e|еженедельный|jokaviikkoinen, viikottainen|||||||||
*-päiväine|a. yhd.|*-päivälline|*-päiväl’i/in’e, -ižen, -št; -ižiin, -ižiid|*-дневный|*-päiväinen|d’ogapäiväl’iin’e|каждодневный|jokapäiväinen, päivittäinen||||||
*-päivälline|a. yhd.|d’ogapäivälline|d’oga/päiväl’iin’e|каждодневный|jokapäiväinen, päivittäinen|||||||||
*-vuozine|a. yhd.|d’ogavuozine|d’oga/vuoz’iin’e|ежегодный|jokavuotinen, vuosittainen|||||||||
*-vuodine|a. yhd.|*-vuozine|*-vuoz’i/in’e, -ižen, -št; -ižiin, -ižiid|*-годный|*-vuotinen|d’ogavuoz’iin’e|ежегодный|jokavuotinen, vuosittainen||||||
|s. dem.|d’ogud|d’ogu/t ~ d’ogu/tt, -den, -tt|речка|pieni joki|||||||||
|s.|d’okt’|d’okt’|дёготь|terva|||||||||
diäkker’|s.|d’uakker’|d’uaker’ ~ jakor’|якорь|ankkuri|||||||||
|s.|d’uam|d’uam, -an, -ad; -uun, -uud|шоссе|maantie, valtamaantie, valtatie|||||||||
|s.|d’umalan-|d’umalan-|божий|jumalan-|||||||||
|s. mon.|d’unad|d’unad|дюны|hiekkakinokset, dyynit|||||||||
|v.|d’uobuda|d’uob/da ~ d'uob/uda, -ub, -ui|угорать, угореть|saada häkämyrkytys|d'uobuin ištes tänäbää mia t'eil (KTK) |угорел я сидя сегодня у вас|minä sain teillä istuessani tänään häkämyrkytyksen||||||
|v. refl.|d’uodakse|d’uodakse, d'uoze, d'uihe(ze)|напиваться, напиться|juoda kyllikseen, juoda itsensä humalaan |häin d'uiheze (KTK)|он напился|hän joi itsensä humalaan||||||
|v. frekv.|d’uoksendelta|d’uoksende/l’da, -l’ob, -l’ ~ -l’ii|бегать|juoksennella|||||||||
|s.|d’uokseteluz|d’uoksetel’u/z, -sen, -st; -s’iin, -s’iid|бег|juoksu|||||||||
|a.|d’uomatoi|d’uomat/uu, -oman, -omad; -omiin, -omiid|трезвый|raitis|||||||||
|s.|d’uond|d’uond, -an, -ad|питьё, распитие|juominen|||||||||
|s.|d’uotatuz|d’uotatu/z, -sen, -st; -s’iin, -s’iid|жажда|jano|||||||||
|v. yksip.|d’uotattada|d’uota/tada, -tab, -t’ ~ -t’ii|хотеться пить|janottaa|rubez’ii hänt d’uotatamaha|kävi häntä janottamaan|захотелось ему пить||||||
|s.|d’upk|d’upk, -an, -ad; -iin, -iid|юбка|hame|||||||||
d'uraita|v.|d’urišta|d’ur’i/šta, -žob, -ž ~ -žii; -štaze, -št'ihe|греметь, прогреметь, громыхать|jyristä, jjylistä, jyrähdellä|rubeta d’ur’ižmaha|загреметь|alkaa jyristä||||||
|v.|d’urišta||||ku d’umal d’ur’ižob (OFMa)|когда гром гремит|kun ukkonen jyrisee||||||
|s.|d’užin|d’ur’in, -an, -ad (KTK)|дюжина|tusina|||||||||
|a.|d’urižij|d’ur’ižij, -an, -ad|гремящий, гремучий|jyrisevä|||||||||
|s.|d’ušk|d’ušk, -an, -ad|вьюшка|uuninpelti; rulla, kela|||||||||
|v. refl.|duuhuitakse|duuhuitakse (KTK)|душиться духами, надушиться|pirskotella hajuvettä päälleen|||||||||
|a.|d’uurdunu|d’uurdunu, -den, -t; -z’iin, -z’iid|закоренелый|juurtunut, vakiintunut|||||||||
d'uur'|s. dem.|d’uurud|d’uuru/t, -den, -tt; -z’iin, -z’iid|корешок|juuri (pieni)|||||||||
olg II|s. dem.|olgud|ol'gu/t ~ ougu/t, -den, -tt; -z’iin, -z’iid (LMS 282)|соломка|olki (pieni)|||||||||
muga|adv.|da III|da|да|kyllä|||||||||
|s.|duač|dača, -n, -d|дача|kesämökki|||||||||
|a.|dälgembaine|d’äl’gemba/an’e, -ažen, -št; -ažiin, -ažiid|крайний|viimeinen, äärimmäinen|||||||||
|s.|damk|damk, -an, -ad|дамка|tammi (peli)|||||||||
därventagaine; *-tagalline|a. yhd.|därventagalline|d’ärven/tagal’iin’e|заозёрный|järventakainen|||||||||
|s.|dedektiv|d’ed’ekt’i/f, -van, -vad|детектив|detektiivi; dekkari|||||||||
|s.|defekt|d’efekt, -an, -ad|дефект|defekti|||||||||
|s.|deficit|d’eficit, -an, -ad|дефицит|puute|||||||||
|s.|defiz|d’efis, -an, -ad|дефис|yhdysmerkki, tavumerkki|||||||||
|s.|dekad|d’ekad, -an, -ad|декада|dekadi|||||||||
|s.|dekan|d’ekan, -an, -ad|декан|dekaani|||||||||
|s.|dekret|d’ekr’et, -an, -ad|декрет|julistus|||||||||
|s.|delegat|d’el’egat, -an, -ad|делегат|delegaatti|||||||||
|s.|demokrat|d’emokrat, -an, -ad|демократ|demokraatti|||||||||
|s.|demonstrant|d’emonstrant, -an, -ad|демонстрант|mielenosoittaja|||||||||
|a.|dengakaz|d’en’gaka/z, -han, -st; -hiin, -hiid|денежный|rahakas|||||||||
|s.|depo|d’epo, -n, -d|депо|varikko|||||||||
|s.|depresij|d’epr’es’ij, -an, -ad|депрессия|depressio, masennus|||||||||
|s.|deputat|d’eputat, -an, -ad|депутат|edustaja|||||||||
|s. yhd.|dereinanagd’|d’er’ein’an/agd’|околица|kylän laita|||||||||
|s.|derektor|d’er’ektor, -an, -ad|директор|johtaja|||||||||
|s.|desant|d'esant, -an, -ad|десант|desantti|||||||||
|s.|dessert|d’es’s’ert, -an, -ad|десерт|jälkiruoka|||||||||
|konj.|desli||||a jesl'i ku vihmas keväz, ka siit pidab vierta|а если когда дождливая весна,  то тогда нужно палить подсеку|mutta silloin kun on sateinen kevät, niin sitten täytyy viertää (kaskea)||||||
|konj.|desli||||jesl’i ol’iiš kr’oun’ kattud lauduol|если бы крыша была покрыта досками|jos katto olisi katettu laudoilla||||||
|konj.|desli||||jesl'i sagen', notketa pidab (PN)|если загустело, разжидить нужно|jos sakeni, pitää vetelöidä||||||
|s.|detal’|d’etal’|деталь|osa|||||||||
|s.|deurij|jevrej, -an, -ad; -uun, -uud|еврей|juutalainen|jevrejuud müöt'i (ND) kirj.|по-еврейски|juutalaisten mukaan (hepreaksi)||||||
|s.|devan|devan, -an, -ad|диван|sohva|||||||||
|s.|deviz|d’eviz, -an, -ad|девиз|iskulause|||||||||
|s.|devizij|d’eviz’ij, -an, -ad|дивизия|divisioona|||||||||
|s.|dezenterij|d’ezent’er’ij, -an, -ad|дезинтерия|punatauti|||||||||
|s.|dezinfekcij|d’ez’infekcij, -an, -ad|дезинфекция|desinfiointi, desinfektio|||||||||
|v.|dežurida|d’ežur’i/da, -b, -i; -taze, -t’ihe|дежурить|päivustää|||||||||
|s.|diabet|d’iabet, -an, -ad|диабет|diabetti|||||||||
|s.|diäd’|d’iäd’ ~ d'iad', -an, -ad|дядя|setä, eno|||||||||
|v.|diädüda|d’iädu/da ~ d'iadu/da (KTK), -n, -in; -b, -i; -taze, -t’ihe|леденеть, заледенеть, обледеневать, обледенеть|jäätyä|||||||||
|s.|diagnoz|d’iagnoz, -an, -ad|диагноз|diagnoosi|||||||||
|a.|diähine|d’iähi/in’e, -ižen, -št; -ižiin, -ižiid|ледяной|jäinen|||||||||
pagin, paginluad|s.|dialekt|d’ial’ekt, -an, -ad; -uun, -uud|диалект|murre|(Pal) laps'iil'e eras'iil'e d'o opastad'ihe l'ivvin  d'ial'ektad (IL) kirj.|некоторым детям уже преподавали диввиковский диалект|eräille lapsille jo opetettiin livvin murretta||||||
|s.|dialog|dialog, -an, -ad|диалог|vuoropuhelu|||||||||
|s.|diametr|diametr, -an, -ad|диаметр|halkaisija, diametri; läpimitta|||||||||
|s. yhd.|diänlähtend|d’iän/l’ähtend|ледоход|jäänlähtö, jöidenlähtö|||||||||
|s. yhd.|diänmurеndaj|d'iäm/murеndaj|ледокол|jäänmurtaja|||||||||
|s. yhd.|diäpala|d’iä/pala (LP) ~ d'ia/pala (KTK)|льдина|jääpala, jäälohkare|||||||||
|s.|diet|d’ieta, -n, -d|диета|dietti|||||||||
kumm|adv.|diiv|d’iiv|удивительно|ihmeellistä|||||||||
|s.|diktor|d’iktor, -an, -ad|диктор|kuuluttaja|||||||||
|v.|dimida|dimi/da, -b, -i; -taze, -t’ihe (SV)|дымить|savuta|||||||||
|s.|dinamik|d’inamik, -an, -ad|динамик|kajutin|||||||||
|s.|diplom|d’iplom, -an, -ad|диплом|diplomi|||||||||
|s.|diplomat|d’iplomat, -an, -ad|дипломат|diplomaattti|||||||||
|s.|diskotek|d’iskot’eka, -n, -d|дискотека|disko|||||||||
|s.|diskusij|d’iskus’s’ij, -an, -ad|дискуссия|keskustelu|||||||||
|s.|dispanser|d’ispanser, -an, -ad|диспансер|huoltola|||||||||
|s.|dispeččer|d’ispeččer, -an, -ad|диспетчер|valvoja|||||||||
|s.|disput|d’isput, -an, -ad|диспут|väittely|||||||||
|s.|dissertacij|d’is’s’ertacij, -an, -ad|диссертация|dissertaatio, opinnäyte|||||||||
|s.|distancij|d’istancij, -an, -ad|дистанция|etäisyys|||||||||
|s.|diversij|d’ivers’ij, -an, -ad|диверсия|diversio|||||||||
|s.|dizel’|d’izel’|дизель|diiseli|||||||||
|s.|dnevnik|dn’evn’ik, -an, -ad|дневник|päiväkirja|||||||||
|s.|docent|docent, -an, -ad|доцент|dosentti|||||||||
|s.|dogovor|dogovor, -an, -ad|договор|sopimus|||||||||
|v.|dokažida|dokaži/da, -b, -i; -taze, -t’ihe|доказать|todistaa|||||||||
|s.|doktrin|doktr’in, -an, -ad|доктрина|doktriini|||||||||
|s.|dokument|dokument, -an, -ad|документ|dokumentti, asiakirja|||||||||
|s.|dollar|dollar, -an, -ad|доллар|dollari|||||||||
|s.|dolžnost’|dolžnost’, -in, -id; -iin, -iid|должность|virka|||||||||
|a.|domennoi|domenn/ij, -uun, -uud |доменный|masuuni-|||||||||
|s.|domkrat|domkrat, -an, -ad|домкрат|nosturi|||||||||
|s.|dopros|dopros, -an, -ad|допрос|kuulustelu|||||||||
|s.|doverennost’|dover’ennost’, -in, -id; -iin, -iid|доверенность|luottokirja|||||||||
|s.|druam|drama, -n, -d|драма|draama|||||||||
|s.|dramaturg|dramaturg, -an, -ad|драматург|dramaturgi|||||||||
|v.|dreifuida|dr’eifu/ida, -ib, -i; -itaze, -it'ihe|дрейфовать|ajelehtia|||||||||
|v.|dressiruida|dr’es’s’iru/ida, -ib, -i; -itaze, -it'ihe|дрессировать|dreseerata|||||||||
|s.|drobu|drobu, -n, -d; -in, -id|дробь|hauli|||||||||
|s.|driän'|dr'än', -in, -id; -iin, -iid (KTK)|дрянь|roska|||||||||
|s.|droždi|drožd'i, -n, -d; -in, -id|дрожжи|hiiva|||||||||
|s. mon.|droždid|drožd'i/d ~ drožži/d, -in, -id|дрожжи|hiiva|||||||||
