v.	sambuttada	sambutada	гасить	sammuttaa			
s.	gastrol’	gastrol’i	гастроли				
s.	gastronom	gastronom	гастроном	gastronomi			
s.	gvardij	gvard’ij	гвардия	kaarti			
s.	nagl	nagl	гвоздь	naula			
konj.	kus	kus	где	missä			
s.	general	gen’eral	генерал	kenraali			
s., a.	nerokaz	n’erokaz	гений	nero			
s.	geografij	geografij	география				
s.	muantied	muan/t’iedo (IL)	география	maantiede			
s.	geolog	geolog	геолог	geologi			
s.	geometrij	geometr’ij	геометрия	geometria			
s.	georgin	georgin	георгин	daalia			
s.	geran’	geran’	герань	pelargonia			
s.	gerb	gerb	герб	vaakuna			
s.	geroi	geroi	герой	sankari			
s.	gerbarij	gerbar’ij	гербарий	herbaario			
a.	germanskij	germanskij	германский	saksalainen			
s.	kuolend	kuol’end	гибель	kuolema			
s.	surm	surm	гибель	kuolema			
s.	gigant	gigant	гигант	gigantti			
s.	gimn	gimn	гимн	hymni			
s.	gimnazij	gimnaz’ij	гимназия	gymnasio			
s.	gimnast	gimnast	гимнаст	voimistelija			
s.	akoidenvračč	akuun/vračč	гинеколог	gynekologi			
s.	gips	gips	гипс	kipsi			
s.	girl’and	girl’and	гирлянда	köynnös, girlandi			
s.	giir	giir	гиря	kahvakuula			
s.	gitar	gitar	гитара	kitara			
s.	piä	piä	глава	pää			
s.	piälik	piäl’ik	главарь	pomo, johtomies			
s.	piälimaine	piäl’imään’e	главный	pääasiallinen, pää-, keskeinen			
v.	ut’užida	ut’užida	гладить	silittää			
v.	silittada	s’il’itada	гладить	silittää			
s.	ut’ugoičend	ut’uguučend	глажение	silitys			
s.	silm	s’il’m	глаз	silmä			
s.	savi	savi	глина	savi			
s.	globus	globus	глобус	karttapallo			
s.	keroi	keruu ~ keruo, -n, -d	глотка, гортань, горло; шея	nielu			
v.	lainata	lainata	глотнуть	nielaista			
v.	gluheta	gluheta	глохнуть	kuuroutua			
a.	süvä	s’üvä	глубокий; глубоко	syvä			
v.	irvištelta	irvištel’da	глумиться	pilkata, rienata, herjata	irvištel’da rožad	гримасничать	
s.	irvištelemine	irvištel’emi/in’e, -ižen, -št	глумление	pilkka, herjaus, rienaus			
s.	mecckana	mecc/kana	глухарь	metso			
a.	gluhij	gluhij	глухой	kuuro			
v.	kaccuda	kacta	глядеть	katsoa			
v.	ajada	ajada	гнать	ajaa (karjaa), ajaa pois			
s.	viha	viha	гнев	viha			
a.	vihaine	viha/an’e, -ažen, -št	гневный	vihainen			
s.	peza	peza	гнездо	pesä			
s. dem.	pezaine	peza/an’e, -ažen, -št	гнездышко	pesänen			
s.	saivar	saivar	гнида	saivar			
a.	hapannu	hapanu	гнилой	mätä, laho			
s.	märg	märg	гной	märkä, mätä, visva			
s.	paiže	paiže	гнойник; чирей	mätäpaise			
s.	gobelen	gobel’en	гобелен	gobeliini			
s.	pagin	pagin	говор	puhe, puhuminen			
v.	pagišta	pagišta	говорить		rubeta pagižmaha	заговорить	
"s.
"	pagižij	pagižij	говорящий	puhuva	n’enaha pagižij	гнусавый	
				s.	äjän pagižij	говорун	
s.	lehmanliha	l'ehman/liha	говядина	naudanliha, nauta			
s.	vuoz’	vuoz’	год	vuosi			
v.	pädöda	pädoda	годиться	päteä			
a.	vuozine	vuoz’i/in’e, -ižen, -št	годичный	vuosittainen			
a.	vuodehine 	vuodehi/in’e, -ižen, -št 	годовалый	yksivuotias, vuoden vanha			
s.	gol	gol	гол	maali			
s.	suappugansiär’	suapkan/s’iär’	голенище	saapasvarsi, saappaanvarsi			
s.	gollandec	golland’ec	голландец	hollantilainen			
v.	kruužituttada	kružitu/tada, -tab, -t’ ~ -t’ii	кружить		piän kružitutab	голову кружит	
s.	piähüd	piähut	головка	pää (deminutiivi)			
s.	nälg	n’äl’g	голод	nälkä	olda n’äl’gas	голодать	
s. yhd.	nälgaig	n’äl’g/aig	голодовка	nälkäaika			
a.	nälgähine	n’äl’ghi/in’e, -ižen, -št	голодный	nälkäinen			
a.	libed	l’ibed	скользкий; скользко, гололёд	liukas			
s.	iän’	iän’	голос	ääni			
a.	iänikaz	iän’ekaz	голосистый	äänekäs			
s. mon.	golupcad	golupcad	голубцы	kaalikääryleet			
adv.	alasti	alast’i	голышом, догола				
s.	golf	gol’f	гольф	golf			
s.	golfad	gol’fad	гольфы	polvisukat			
s.	viestintuoj	viest’in/tui	гонец	sanansaattaja, lähetti			
v.	ajelta	ajel’ta	гонять	"ajaa, ajella,
juoksuttaa
jahdata"			
s.	gonorar	gonorar	гонорар	palkkio			
s.	mägi	mägi	гора	mäki			
s.	gurb	gurb	горб	kyttyrä			
s.	leibkromaine	l’eip/kromaan’e	горбушка	kannikka			
v.	gordi’dakse	gord’i/dakse, -že, -ihe(ze)	гордиться	olla ylpeä			
s.	gor’a	gor’a	гора	suru, murhe			
v.	gor’uida	gor’uuda	горевать	murehtia			
v.	palada	palada	гореть				
a.	karged	karged	горький; горечь	katkera; katkeruus			
s. yhd.	taivahanrand	taivhan/rand	горизонт	horisontti, taivaanranta			
a.	mägikaz	mägikaz	гористый				
s.	gorkom	gorkom	горком				
s.	mägüč	mägüč	горка				
s.	kurk	kurk	горло; шея	kurkku			
s.	kurkuine	(Pal) kurk/uun’e, -uužen, -ušt	горлышко	pullonkaula, pullonsuu			
s.	lidnaine	l’idna/an’e, -ažen, -št	городок	talorykelmä	huba l’idnaan’e	небольшой городок	
s.	herneh	herneh	горох	herne			
s.	herneh-	herneh-	гороховый	herne-			
s.	gorsovet	gorsovet	горсовет				
s.	kobr	kobr	горсть	kourallinen			
s.	gorčic	gorčic	горчица	sinappi			
s.	pada	pada	горшок	ruukku			
s.	gor’učij	gor’učij	горючее	polttoaine			
a.	palav	palab	горячий	kiehuvan kuuma			
s.	gospital’	gospital’	госпиталь	(sotilas)sairaala			
s.	gostinč	gost’inč	гостинец	tuliainen			
s.	gost’	gost’	гость	vieras			
s.	gosudarstv	gosudarstv	государство	valtio			
s.	gostinič	gost’in’ic	гостиница	hotelli			
a.	valmiž	vaumiž	готовый; готово	valmis			
v. refl.	valmištadakse	vaumištadakse	готовиться	valmistautua			
a.	gruabittu	gruaptud	ограбленный	ryöstetty			
s.	gruabind	gruabind	ограбление	ryöstö, ryövääminen			
v.	gruabida	gruapta	грабить	ryöstää			
s.	gravij	gravij	гравий	sora			
s.	gravirofk	gravirofk	гвавировка				
s.	harav	harav	грабли	harava			
s.	ragiž	ragiž	град	raekuuro			
s.	gradus	gradus	градус	aste			
s.	gramm	gramm	грамм	gramma			
s.	gramot	gramot	грамота	kirje			
s.	plastink	plast’ink	грампластинка				
s.	granat	granat	граната	kranaatti			
s.	granit	granit	гранит	graniitti			
s.	kivi	kivi	гранит	graniitti			
s.	granič	gran’ic	граница	raja			
s.	grafin	grafin	графин	karahvi			
s.	suga	suga	гребёнка	kampa			
s.	soudaj	soudaj	гребец	soutaja			
s.	soudand	soudand	гребля	soutu			
s.	grelk	grelk	грелка	lämmitin			
v.	d’urišta	d’ur’išta	греметь, громыхать	jylistä, jyristä, jyrähdellä	rubeta d’ur’ižmaha	загреметь	
a.	d’urižij	d’ur’ižij	гремучий				
s.	grenkad	grenkad	гренки				
v.	souta	souta	грести	soutaa			
v.	lämbittada	l’ämmitada	греть	lämmittää			
s.	riähk	r’iähk	грех	räähkä, synti			
s.	griäh	gr’iäh	грех	räähkä, synti			
s.	griba	gr’iba	гриб	sieni			
s.	gribanik	gr’iban’ik	грибник	sienestäjä			
a.	gribahine	gr’ibahi/in’e, -ižen, -št	грибной	sieni-			
s.	hard’	huar’	грива	harja			
s.	grivenik	griven’n’ik	гривенник	kymmenen kopeekan kolikko			
s.	gripp	gr'ipp	грипп	flunssa			
s.	groba	groba	гроб	ruumisarkku			
s.	dürü	d’uru	гром, грохот; гроза	jyrinä			
s.	käpš	käpš	гроздь	terttu			
adv.	äijäl	äjäl	громко	äänekkäästi	äjäl kuuluj	громкий	
s.	gromootvod	gromootvod	громоотвод	ukkosenjohdatin			
s.	grošš	grošš	грош	pikkuraha			
v.	maksada	maksta	стоить	maksaa	n’i mida ei maksa	грош цена	
s.	rind	r’ind	грудь	rinta			
s.	nänn’	n’änn’	грудь	rinta			
s.	gruzin	gruz’in	грузин	georgialainen			
s.	gruzovik	gruzovik	грузовик	kuorma-auto			
s.	pohd’	pohd’	дно, грунт	pohja			
s.	artel’	art'el’	артель, группа, гурьба, компания, коллектив	artteli			
s.	gruup	gruup	группа	ryhmä			
a.	atkav	atkav	грустный	surullinen			
v.	grizida	griz’ida	грызть	purra			
s.	vago	vago	гряда	vako			
a.	reduhine	reduhi/in’e, -ižen, -št	грязный	likainen			
s.	redu	redu	грязь	lika			
s.	huul’	huul’	губа	huuli			
a.	sagedhuul’	saged/huul’	губастый				
s.	gubernij	gubern’ij	губерния	kuvernementti			
s.	gul’ank	gul’ank	гулянка	bileet			
v.	kävelta	kävel’ta	гулять	kävellä	kävel'ta üöstus’iiš	блуждать, бродить	
s.	riih	riih	гумно	riihi			
adv.	tukul	tukul	гуртом				
v.	sageta	sageta	густеть	sakeutua			
a.	saged	saged	густой	sakea	saged mecc	дремучий лес, дебри	
s.	guus’	guus’	гусь	hanhi			
part.	da	da	да	kyllä; ja			
v.	anta	anta	давать	antaa			
v.	ličaita	l’ičaata	давить	painaa			
s.	tungend	tungend	давка	tungos			
a.	amuine	am/uin’e, -uižen, -ušt	давний	kaukainen, muinainen			
adv.	amu	amu	давно				
part.	äskei	äskii	даже				
a.	edahaine	edaha/an’e, -ažen, -št	далёкий				
adv.	edahan	edahan	далеко	s.			
adv.	edemba	edemba	дальше	s.			
v.	podarida	podar’ida	дарить	s.			
s.	damk	damk	дамка	s.			
s. yhd.	laškkond’ij	lašk/kond’ij	лодырь, лентяй, дармоед	s.			
s.	nero	n’ero	дарование	s.			
adv.	ilmai	ilmaa	даром	s.			
a.	ilmaine	ilma/an’e, -ažen, -št	даровой	v.			
num.	kaks’	kaks’	два	v.	kaks’ kierdad	дважды	kaksi kertaa
num.	kaks’kümment	kaks’/küment	двадцать	s.			
num.	kaks’sadad	kaks’/sadad	двести	s.			
s.	uks’	uks’	дверь	num.			
v.	liikuttada	l’iikutada	двигать	a.			
adv.	kahtei	kahtei	вдвоём, двое	v.			
s.	dača	dača	дача	v.			
s.	uks’	uks’	дверца	ovi, aukko			
s.	dvigatel’	dvigat’el’	двигатель	v.			
a. yhd.	kaks’kierdaine	kaks’/kierdaan’e	двойной	adv.			
s.	kaksinaine	kaks’na/an’e, -ažen, -št	двойняшка, близнец	kaksonen, kaksoislapsi			
s. mon.	kaksinaižed	kaks’naaž/ed, -iin, -iid 	двойня, двойняшки, близнецы	kaksoset			
s. mon.	kaksižed	kaks’iiž/ed, -iin, -iid (IL)	двойня, двойняшки, близнецы	kaksoset			
s.	dvoik	dvoik	двойка	kakkonen			
a. yhd.	kahtenluaduine	kahten/luaduin’e	двоякий	s.			
s.	dvorč	dvorc	дворец	v.			
s.	verai	veraa	двор	v.			
s. yhd.	verainuberij	veraan/uber’ij	дворник	v.			
s.	neidine	n’eižn’e	девушка, дева	s.	vahn n’eižn’e	старая дева	
s.	deviz	d’eviz	девиз	s.			
v.	peittada	peitta	девать	s.			
v.	panda	panda	девать	s.			
s.	küdü	küdu	деверь	s.			
s.	neičuk	n’eičuk	девочка	s.			
num	üheksakümment	ühesa/küment	девяносто	s.			
num	üheksa	ühesa	девять	s.			
num.	üheksasadad	ühesa/sadad	девятьсот	s.			
s.	d’okt’	d’okt’	дёготь	s.			
s.	died	d’ied	дед	s.			
v.	dežurida	d’ežur’ida	дежурить	s.			
s.	dezinfekcij	d’ez’infekcij	дезинфекция	s.			
s.	ruad	ruad	действие	s.			
a.	todelline	todel'iin'e	действительный	s.			
v.	ruata	ruata	действовать	s.			
v.	azuda	azuda	делать	s.			
s.	dekad	d’ekad	декада	s.			
s.	dekan	d’ekan	декан	s.			
s.	d’agand	d’agand	делёж	s.			
s.	d’agamine	d’agami/in’e, -ižen, -št	деление	s.			
v.	d’agada	d’agada	делить	s.			
s.	d’ielo	d’ielo	дело	s.			
s.	dekret	d’ekr’et	декрет	v.			
s.	delegat	d’el’egat	делегат	v.			
s.	demokrat	d’emokrat	демократ	s.			
s.	demonstrant	d’emonstrant	демонстрант	s.			
a.	dengakaz	d’en’gakaz	денежный	num.			
s.	päiv	päiv	день	a.	päiväl	днём	
s.	dengad	d’en’gad	деньги	v.	suada d’en’gad	получать деньги, зарабатывать	saada rahaa, ansaita rahaa
s.	depo	d’epo	депо	v.			
s.	depresij	d’epr’es’ij	депрессия	s.			
s.	deputat	d’eputat	депутат	v.			
s.	derein	d’er’ein’	деревня	adv.			
s.	puu	puu	дерево	a.			
s.	puuhud	puuhut	деревцо	v.			
a.	puuhine	puuhi/in’e, -ižen, -št	деревянный	s.			
s.	desant	d'esant	десант	v.			
s.	igen	igen’	десна	v.			
num.	kümmene	kümn’e	десять	v.			
s.	desert	d’es’s’ert	дессерт	s.			
s.	detal’	d’etal’	деталь	s.			
s.	dedektif	d’ed’ekt’if	детектив	s.			
s.	poigaine	poiga/an’e, -ažen, -št	детёныш	s.			
s.	defekt	d’efekt	дефект	s.			
s.	defiz	d’efis	дефис	s.			
s.	deficit	d’eficit	дефицит	s.			
v.	huogištuda	huogištu/da, -b, -i	дешеветь	s.			
adv.	huogehes	huoghes	дёшево	s.			
s.	džaz	džaz	джазз	s.			
s.	džem	džem	джем	s.			
s.	džincad	džinsi	джинсы	s.			
s.	diabet	d’iabet	диабет	s.			
s.	diagnoz	d’iagnoz	диагноз	s.			
s.	dialekt	d’ial’ekt	диалект	s.			
s.	dialog	dialog	диалог	s.			
s.	diametr	diametr	диаметр	s.			
a.	hüvä	hüvä	хороший	s.	ül’en hüvä	прекрасный, дивный	erinomainen, ihana
s.	kumm	kumm	диво	s.			
s.	devan	devan	диван	s.			
s.	diversij	d’ivers’ij	диверсия	s.			
s.	devizij	d’eviz’ij	дивизия	s.			
s.	dieta	d’ieta	диета	s.			
s.	dizel’	d’izel’	дизель	v.			
s.	dezenterij	d’ezent’er’ij	дезинтерия	v.			
s.	kruug	kruug	диск	s.			
s.	diktor	d’iktor	диктор	s.			
s.	dinamik	d’inamik	динамик	num.			
s.	diplom	d’iplom	диплом	a.			
s.	diplomat	d’iplomat	дипломат	v.			
s.	derektor	d’er’ektor	директор	v.			
s.	diskoteka	d’iskot’eka	дискотека	s.			
s.	diskusij	d’iskus’s’ij	дискуссия	v.			
s.	dispanser	d’ispanser	диспансер	adv.			
s.	dispeččer	d’ispeččer	диспетчер	a.			
s.	disput	d’isput	диспут	v.			
s.	dissertacij	d’is’s’ertacij	диссертация	s.			
s.	distancij	d’istancij	дистанция	v.			
s. yhd.	pitkd’alg	pit’k/d’aug	длинноногий	v.			
a.	päivälline	päiväl’i/in’e, -ižen, -št	дневной	v.			
s.	dnevnik	dn’evn’ik	дневник	s.			
v.	ližata	l'ižata	добавить	s.			
s.	liža	l’iža	добавка	s.			
v.	koheta	koheta	добреть	s.			
s.	hüvüz	hüvüz	добро	s.			
a. yhd.	hüväs’üdämelline	hüvä/s’üdämeliin’e	добродушный	s.			
v.	suada	suada	добывать	s.			
s.	suand	suand	добыча	s.			
s.	uskond	uskond	доверие	s.			
s.	doverennost’	dover’ennost’	доверенность	s.			
adv.	ülähakssai	ül’ähakssua	доверху	s.			
v.	tabata	tabata	догнать	s.			
s.	dogovor	dogovor	договор	s.			
a.	vihmaksine	vihmas’i/in’e, -ižen, -št	дождевый	s.			
s. dem.	vihmaine	vihma/an’e, -ažen, -št	дождик	s.			
v. refl.	vuottadakse	vuottakse	дождаться	s.			
v.	lüpsäda	l’üpsta	доить	s.			
s.	lüpsäj	l’üpsaj	доярка; дойный	s.			
v.	dokažida	dokažida	доказать	s.			
v.	loppida	lopta	доканчивать	s.			
s.	doktrin	doktr’in	доктрина	s.			
s.	dokument	dokument	документ	s.			
adv.	kunnesai	kunesaa	докуда	s.			
s.	velg	velg	долг	v.			
adv.	hätken	hät’ken	долго	v.			
a. yhd.	pitkigaine	pit’k/igaan’e	долговечный	s.			
s.	dolžnost’	dolžnost’	должность	s.			
s.	velgnik	velgn’ik	должник	num.			
s.	dollar	dollar	доллар	a.			
adv.	irdale	irdal’e	долой	v.			
adv.	iäres	iäres	долой	v.			
s.	oza	oza	доля	s.			
s.	vuit’	vuit’	доля	s.			
