hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1||||||||||
tiäht'|tiähti (LMS 433|s.|тияхти|звезда|tähti|||||||||||||||
tora|tora (LMS 436)|s.|тора|драка|tappelu|||||||||||||||
torelk|tor'elke (LMS 436)|s.|торелкэ|тарелка|lautanen|||||||||||||||
torg|torgu (LMS 436)|s.|торгу|торговля|kauppa, kaupanpito|||||||||||||||
torgovč|torgovče|s.|торговчэ|торговец|kauppamies|||||||||||||||
torp|torppe (LMS 436)|s.|торпэ|торпа|purolohi, rautu|||||||||||||||
tovariš|dovarišče|s.|доварище|товарищ|toveri, kaveri, kumppani|||||||||||||||
trešt'otk|treščotke (LMS 437)|s.|трёщоткэ|трещетка|päristin, jolla hevosia säikytetään|||||||||||||||
trezvoi|trezvuoi|a.|трезвуой|трезвый|selvä, raitis|||||||||||||||
trezvonida||v.||||trezvonita(h)|трезвонита|трезвонят|soitetaan kovin kelloja|||||||||||
troik|troike (LMS 438)|s.|тройкэ|тройка||||||||||||||||
truat|truatte (LMS 438)|s.|труаттэ|потрава|syöttövahinko|||||||||||||||
truattida||v.||||truatin (LMS 438)|труатин|трачу|kulutan, tuhlaan|||||||||||
truba|truba (LMS 438)|s.|труба|труба|putki; trumpetti; piippu, savupiippu|||||||||||||||
trudno|trudno|adv.|трудно|трудно|vaikea|||||||||||||||
truss|trusse|s.|труссэ|трус|pelkuri|||||||||||||||
träsk|träske (LMS 438)|s.|тряскэ|тряска|heiluminen|||||||||||||||
tuačk|tuačke (LMS 428)|s.|туачкэ|тачка|kärryt|||||||||||||||
tuat|tuatto (LMS 149)|s.|туатто|отец|isä|||||||||||||||
tuaz|tuaze (LMS 449)|s.|туазэ|таз|vati|||||||||||||||
tuhk|tuhke (LMS 450)|s.|тухкэ|пепел, зола|tuhka|||||||||||||||
tukad|tukad (LMS 451)|s. mon.|тукад|волосы|tukka|||||||||||||||
tukk|tukku (LMS 451)|s.|тукку|куча|kasa|||||||||||||||
tukkuh||adv.||||tukku(h) vedäu|тукку вэдяу|корчит, тянет в кучу  (человека)|kasata|||||||||||
tukkunaine|tukkunaine (LMS 451)|a.|туккунайнэ|целый|kokonainen|||||||||||||||
tukul|tukul (LMS 451)|adv.|тукул|целиком|kokonaan|||||||||||||||
tulda|tulda, tulou (LMS 451), tul'i|v.||приехать|tulla|tul'i|тули|он приехал|tuli|||||||||||
tuli|tul'i, tulen, tulte (LMS 452)|s.|тули|огонь|tuli, valkea|||||||||||||||
tulup|tuluppe (LMS 452)|s.|тулуппэ|тулуп|iso matkaturkki|||||||||||||||
tuman|tuman (LMS 453)|s.|туман|туман|sumu|||||||||||||||
tungeda||v.||||tungen (LMS 453)|тунгэн|сую|tungen|||||||||||
tuoh|tuohi (LMS 453)|s.|туоги|береста|tuohi|||||||||||||||
tuohuz|tuohus (LMS 454)|s.|туогус|свечка|tuohus, kynttilä|||||||||||||||
tuom|tuomi (LMS 454)|s.|туоми|черемуха|tuomi|||||||||||||||
tuorez|tuore/s (RKS) ~ tuore/z, -hen, -st  (LMS 454)|a.|туорэс|сырой|tuore, raaka, kypsymätön|||||||||||||||
turk|turkki (LMS 455)|s.|турки|шуба|turkki|||||||||||||||
tursk|troske (LMS 237)|s.|трёскэ|треска|turska|||||||||||||||
tusk|tuske (LMS 455)|s.|тускэ|тоска|tuska|||||||||||||||
tuttav|tutta/u, -van, -vad (LMS 456)|s.|туттау|знакомый|tuttava|||||||||||||||
tuttavuda||v.|||tutustun|tuttavun|туттавун|знакомлюсь|tutustun|||||||||||
tuuč|tuučče (LMS 457)|s.|туучэ|туча; вьюга|ukkospilvi; lumipyry|||||||||||||||
tuul'|tuuli (LMS 456)|s.|туули|ветер|tuuli|||||||||||||||
tuulattada||v.||||tuulatan|тулдатон|вею|tuulen|||||||||||
tühje|t'ühje (LMS 457)|a.|тюгье|ложь (пустое)|valhe, vale|||||||||||||||
tühjäle|t'ühjäle (LMS 457)|adv.|тюгьялэ|попусту|turhaan|||||||||||||||
tükk|t'ukke (LMS 451)|s.|тюккэ|тюк|pakka|||||||||||||||
tülč|tülče (LMS 448)|s.|тюльчэ|тупой|tylsä|||||||||||||||
tüpp|tüpä|s.|тюпя|затычка|tukko, tappi|||||||||||||||
tüpäta||v.||||tüppädan|тюппядан|затыкаю|tukin|||||||||||
türä|türä (LMS 458)|s.|тюря|кила|kohju, tyrä|||||||||||||||
tütär (LMS 458)|tütär (LMS 458)|s.|тютяр|дочь|tytär|||||||||||||||
tüün'|t'üuni ~ t'üun'i (LMS 458)|a.||тихий|tyyni|||||||||||||||
tüün'|t'üuni ~ t'üun'i (LMS 458)|adv.|тюуни|тихо|tyyntä|||||||||||||||
tüür|tüurü, -n, -d (LMS 459)|s.||тюря|leipäpöperö|tüurüd|тюурюд|тюрю (есть)|leipäpöperöä (syödä)|||||||||||
tüötä||v.|||lähetän|tüöndän (LMS 459)|тюёндан|шлю|lähetän|||||||||||
tädi|t'äd'i (LMS 459)|s.|тяди|тетка|täti|||||||||||||||
tähk|tähke (LMS 460)|s.|тяхкэ|колос|tähkä|||||||||||||||
tämä|tämä (LMS 460)|pron.|тямя|этот|tämä|||||||||||||||
tämäpäiv|tämä/päi|s. yhd.|тямя-пяй|сегодня|tämä päivä|||||||||||||||
tänne|tänne (LMS 460)|adv.|тяннэ|сюда|tänne|||||||||||||||
törk|t'orke (LMS 461)|s.|тёркэ|тёрка|raastin|||||||||||||||
učenik|učenikke|s.|учениккэ|ученик|opilas|||||||||||||||
ufatk|ufatke (LMS 463)|s.|уфаткэ|ухват|patahaarukka (jolla pata nostetaan)|||||||||||||||
ujelta||v. frekv.||||ujelen|уэлэн|плаваю|uiskentelen|||||||||||
ujuda|uju/da, -n, -in  (LMS 463)|v.||плыть|uida|ujun (LMS 463)|уюн|плыву|uin|||||||||||
ujumah|ujuma(h)|adv.|уюма|вплавь|uiden|||||||||||||||
ukask|ukaske|s.|указкэ|указка|karttakeppi|||||||||||||||
uks'|uksi (LMS 464|s.|укси|дверь|ovi|||||||||||||||
uneksida||v.||||uneksin (LMS 465)|унэксин|брежу|hourailen, hourin|||||||||||
uni|uni (LMS 465)|s.|уни|сон|uni|||||||||||||||
upota||v.||||upponen (LMS 465)|уппонэн|тону (на дно)|uppoan|||||||||||
ur'adnik|ur'adnikke (LMS 466)|s.|урядниккэ|урядник|maalaispoliisi|||||||||||||||
urk|ur'ke|s.|урькэ|урок|oppitunti|||||||||||||||
usad|usad (LMS 466)|s. mon.|усат|усы|viikset|||||||||||||||
uskoda||v.||||uskon (LMS 466)|ускон|верю|uskon|||||||||||
ut'ug|ut'ug|s.|утюкъ|утюг|silitysrauta|||||||||||||||
uudessah|uudessa ~ uudessah (LMS 467)|adv.|уудэсса|снова|uudestaan|lugen uudessa|лугэнъ уудэсса|пересчитываю, считаю снова||||||||||||
uuz'|uuzi (LMS 468)|a.|уузи|новый|uusi|||||||||||||||
uvažida||v.||||uvažin|уважин|уважаю|kunnioitan|||||||||||
uzl|uzle (LMS 467)|s.|узлэ|узел|solmu|||||||||||||||
vacc|vačče (LMS 479)|s.|ваччэ|живот|vatsa|||||||||||||||
vago|vago (LMS 469)|s.|ваго|борозда|vako|||||||||||||||
vagoi|vaguoi|s.|вагуой|малина|vadelma|||||||||||||||
vaha|vaha (LMS 469)|s.|вага|воск|vaha|||||||||||||||
vahahine|vahahine|a.|вахахинэ|восковой|vaha-|vahahine tuohus|вахахинэ туохус|восковая свеча|vahakynttilä|||||||||||
vahne|vahn/e, -an, -ad (LMS 469)|a.|вагнэ|старый|vanha|ülen vahne (LMS 469)|улэн вагнэ|очень старый, дряхлый|hyvin vanha|||||||||||
vaigattada||v.||||vaigatan|вайгатан|каплю|tipahdan|||||||||||
vaivuda||v.||||vaivun|вайвун|маюсь|rääkkään itseään|||||||||||
vajehtada||v.||||vajehtan (LMS 471)|ваэхтан|меняю|vaihdan|||||||||||
vajehtuz|vajehtus|s.|ваэхтус|мена|vaihto|||||||||||||||
vakaine|vakaine (LMS 471)|s.|вакайнэ|коробка|laatikko|||||||||||||||
valada||v.||||valan (LMS 471)|валан|заливаю (лью)|valan|||||||||||
valgedaine II|valgedaine (LMS 472)|s.|валгэдайнэ|белок|valkuainen|||||||||||||||
valgeta||v.||||valgoni|валгони|светает|valkenee|||||||||||
vall'astuz|val'l'astus (LMS 473)|s.|валластус|упряжь|valjastus|||||||||||||||
valmištada||v.||||valmištan (LMS 473)|вальмиштан|готовлю|valmistan|||||||||||
valuda||v.||||valuu (LMS 474)|валуу|течет|valuu|||||||||||
vandeh|vandeh (LMS 474)|s.|вандэ|обруч|vanne|||||||||||||||
varač|varačču|s.|вараччу|трус|pelkuri|||||||||||||||
varaita||v.|||pelkään|varaidan (LMS 475)|варайдан|боюсь, стращусь|pelkään|||||||||||
vard'oita|vard'uoita (LMS 475)|v.||хранить, беречь|varjellla|vard'uoičen (LMS 475)|вардюйчен|храню, берегу|varjelen|||||||||||
vargastada||v.||||vargastan|варгастан|ворую|varastan|||||||||||
vargastaj||s.||||vargastajat|варгастаят|воры|varkaat|||||||||||
vargaz|vargas (LMS 475)|s.|варгас|вор|varas|||||||||||||||
varoi|varuoi (LMS 475)|s.|варуой|ворона|varis|||||||||||||||
varu|varu|s.|вару|страх|pelko|||||||||||||||
vask|vaski (LMS 476)|s.|васки|медь|vaski|||||||||||||||
vaskine|vaskine (LMS 476)|a.|васкинэ|медный|vaskinen|||||||||||||||
vast|vaste (LMS 477)|s.|вастэ|веник|vasta|||||||||||||||
vastata||v.||||vastadan (LMS 477)|вастадан|отвечаю (навстречу говорю)|vastaan|||||||||||
vate|vate (LMS 478)|s.|ватэ|сукно|verka|||||||||||||||
vattahine|vattahine (LMS 479)|a.|ваттагинэ|суконный|verkainen|||||||||||||||
vazaine|vazaine (LMS 478)|s. dem.|вазайнэ|теленок|vasikka|||||||||||||||
vazaraine|vazaraine (LMS 478)|s. dem.|вазарайнэ|молоток|vasara|||||||||||||||
večern'|večerni (LMS 486)|s.|вечерни|вечерня|ehtoopalvelus|||||||||||||||
vedehine|vedehine (LMS 480)|s.|вэдэгинэ|водяной|vetehinen, vedenhaltija|||||||||||||||
vedada|vedäi (LMS 480)|v.||тянуть, возить, впитывать|vetää|vedän (LMS 480)|вэдян|тяну; вожу (бревна)|vedän|||||||||||
vedada|vedäi (LMS 480)|v.||||vedän korvas (RKS)|вэдян корвас|треплю за уши|vedän korvasta|||||||||||
vedada|vedäi (LMS 480)|v.||||ved'in (RKS)|ведин|я тянул; я впитал|vedin|||||||||||
vedattada||v.||||vedätan (LMS 480)|ведятан|вожу (слепого)|kuljetan (sokeaa)|||||||||||
vedattada||v.||||vedät'in (LMS 480)|ведятин|я ввёл|johdin, johdatin, vein, toin, talutin|||||||||||
veič|veičči (LMS 481)|s.|вэйчи|ножик|veitsi|||||||||||||||
vell'|vel'l'i (LMS 481)|s.|вэлли|брат|veli|||||||||||||||
venč|venče (LMS 482)|s.|вэнчэ|венец|seppele|||||||||||||||
veneh|veneh (LMS 482)|s.|вэнэ|лодка|vene|||||||||||||||
verai|veräi (LMS 484)|s.|вэряй|ворота|portti, veräjä|||||||||||||||
verbl'uud|verbl'ude|s.|верблюдэ|верблюд|kameli|||||||||||||||
verg|verge (LMS 483)|s.|вергэ|клин (сколачивать пол)|kiila|||||||||||||||
veri|veri (LMS 483)|s.|вэри|кровь|veri|||||||||||||||
verk|verkko (LMS 483)|s.|вэрко|сеть|verkko|||||||||||||||
vessel'|vessel (LMS 484)|adv.|весселъ|весело|hauskaa|||||||||||||||
vezi|vez'i, veden, vette (LMS 485)|s.|вези|вода|vesi|kiehutettu vez'i|киехутэтту вези|кипячёная вода|keitetty vesi|||||||||||
vezihiir'|vezi/hiiri (LMS 385)|s. yhd.|вэзи-гири|норка (животное)|vesikko, minkki|||||||||||||||
vie|vie (LMS 486)|adv.|виэ|ещё|vielä|||||||||||||||
viehk||s.||||viehat (LMS 486)|виэхат|вехи|merkkipylväät, merkkipaluut|||||||||||
viehkur'|viehkuri  (LMS 486)|s.|виэхкури|вихорь||||||||||||||||
vierda||v.||||vieren (LMS 487)|виэрэн|линяю|haalistun|||||||||||
vierta||v.||||vierdän (LMS 487)|виэрдан|валю|kieritän, vieritän, kierittelen, vierittelen|||||||||||
vieskad|viesat (LMS 488)|s. mon.|виэсат|весы|vaaka|||||||||||||||
vigli|vigli (LMS 490)|s.|вигли|кулик|kahlaaja|||||||||||||||
viha (LMS 488)|viha (LMS 488)|s.|вига|гнев, зло|viha|||||||||||||||
vihaine|vihaine (LMS 488)|a.|вигайнэ|злой|vihainen|||||||||||||||
vihand|vihande (LMS 488)|a.|вигандэ|зеленый|vihreä|||||||||||||||
vihata||v.||||vihadan|вигадан|враждую|riitelen|||||||||||
vihelta||v.||||viheldan (LMS 489)|вигэльдян|свищу|vihellän|||||||||||
vihišta||v.||||vihižen|вигижен|скриплю (телега)|narisen|||||||||||
vihm|vihme (LMS 489)|s.|вигмэ|дождь|sade|||||||||||||||
vihmuda||v.||||vihmuu (LMS 489)|вигмуу|дождит|sataa |||||||||||
vihottada||v.|||vihannoin|vihoitan (LMS 489)|вигойтан|зеленею|viherrän|||||||||||
viiht'|viih/t'i, -ten (LMS 494)|s.|виухти|моток|vyyhti|||||||||||||||
viihtada||v.||||viihtän (LMS 494)|виухтян|мотаю (на мотовило)|vyyhdin|||||||||||
viilda||v.||||viileu|вилеу|кроит|leikkaa|||||||||||
viin|viine (LMS 494)|s.|винэ|вино|viina, viini|||||||||||||||
vikateh|vikateh (LMS 489)|s.|викатэ|коса (которой косят)|viikate|||||||||||||||
vilk|vilkke (LMS 490)|s.|вилкэ|вилка|haarukka|||||||||||||||
vill|ville (LMS 490)|s.|виллэ|шерсть|villa|||||||||||||||
villaine|villaine (LMS 490)|a.|виллайнэ|шерстяной|villainen|||||||||||||||
vilu|vilu, -n, -d(LMS 490)|a.|вилу|холодный|kylmä|vilu vez'i|вилу вези|холодная вода|kylmä vesi|||||||||||
vilu|vilu (LMS 490)|adv.|вилу|холодно|kylmää|||||||||||||||
virittada||v.||||viritän (LMS 491)|виритян|поджигаю|viritän|||||||||||
virkkada||v.||||henget virkada (LMS 491)|гэнгэть-виркада|божиться|vannoa|||||||||||
viruda||v.||||virun (LMS 492)|вирун|лежу|makaan|||||||||||
viär|viär/e (LMS 493) ~ viär (RKS), -än, -äd|a.|вияръ|виноват|väärä; syyllinen|||||||||||||||
viärüz|viärüs (LMS 493)|s.|виярюс|вина|syys|||||||||||||||
viäräh|viärä(h) (LMS 493)|adv.|вияря|криво|väärin|||||||||||||||
viäzüda||v.||||väzüin (LMS 503)|вязюйн|я устал|väsyin|||||||||||
vladeita||v.||||vladeičen|владейчен|владею|hallitsen|||||||||||
vlast'|vlasti|s.|власти|власть|valta|||||||||||||||
vodidakse||v. refl.||||vodimos|водимос|вожусь (с кем-то)|seurustelen|||||||||||
voi|voi (LMS 495)|s.|вой|масло|voi|||||||||||||||
voida||v.||||en voi|эн-вой|болею|sairastelen|||||||||||
voimatuz|voimatus (LMS 496)|s.|войматус|болезнь|tauti|||||||||||||||
voin|voine (LMS 496)|s.|войнэ|война|sota|||||||||||||||
voita||v.||||voidan (LMS 496)|войдан|мажу|voitelen|||||||||||
vojennoi|vojennoi|s.|военной|военный|sotamies|||||||||||||||
vojuita||v.||||vojuičen|воюйчэн|воюю|taistelen|||||||||||
vol'a|vol'a|s.|воля|воля|vapaus; tahto|||||||||||||||
vol'noi|vol'noi (LMS 496)|a.|вольной|вольный|vapaa|||||||||||||||
vonguda||v.||||vongun|вонгун|вою|ulvon, vongun, ulisen|||||||||||
voruita|voruita (LMS 498)|v.|воруйта|баловать, шалить|telmiä|||||||||||||||
voruitakse||v. refl.||||miks voruičetos?|миксъ воруйчетос?|что балуетесь (шалите)?|mitä telmitte?|||||||||||
vozduh|vozduhhe|s.|воздухэ|воздух|ilma|||||||||||||||
vuahte|vuahti ~ vuaht/e, -egen, -ette (LMS 498)|s.|вуахти|пена; пенка|vaahto|||||||||||||||
vualida||v.||||vualin (LMS 498)|вуалин|валяю|kaadan, kumoan, heitän|||||||||||
vuas|vuasse (LMS 499)|s.|вуассэ|квас|kalja|||||||||||||||
vuat|vuatte|s.|вуаттэ|вата|vanu|||||||||||||||
vuottada||v.||||vuotan (LMS 500)|вуотан|жду|odotan|||||||||||
vuoz'|vuozi (LMS 500)|s.|вуози|год|vuosi|||||||||||||||
vüö|vüö (LMS 500)|s.|вюё|пояс|vyö|||||||||||||||
vzätk|vz'atke|s.|взяткэ|взятка|lahjus|||||||||||||||
vägev|väge/u, -vän, -väd (LMS 501) ~ vägöu (RKS) |a.|вягёу|сильный; силач (RKS)|vahva|||||||||||||||
vägi|vägi (LMS 501)|s.|вяги|сила|voima|||||||||||||||
vähä II|vähä (LMS 501)|adv.|вягя|мало|vähän|||||||||||||||
väll'|väl'l'/e, -än, -äd (LMS 502)|a.|вяллэ|слабый|väljä|||||||||||||||
värttinaine|värtinäine|s.|вяртиняйнэ|валек||||||||||||||||
vävü|vävü (LMS 503)|s.|вявю|зять|vävy|||||||||||||||
ühtes|ühtes (LMS 504)|adv.|ухтэс|вместе|yhdessä|||||||||||||||
üks'silm|üks/silme (LMS 505)|s. yhd.|уксъ-силмэ|кривой, одноглазый|silmäpuoli|||||||||||||||
üks'silmäine|üks/silmäine (LMS 505)|a. yhd.||кривой, одноглазый|silmäpuoli|||||||||||||||
ülen|ülen (LMS 505)|adv.|улэн|очень|hyvin, ylen|ülen vahne (LMS 469)|улэн вагнэ|очень старый, дряхлый|hyvin vanha|||||||||||
ülähan|ülähän (LMS 505)|adv.|уляган|наверху; вверх (RKS)|ylhäällä|||||||||||||||
ümbärta||v.|||kierrän|ümbärdan (LMS 506)|умбярдан|объезжаю, обхожу|kierrän|||||||||||
zabjak|zabjakko|s.|забьякко|забияка|riitapukari|||||||||||||||
zabor|zabor (LMS 417)|s.|забор|забор|aita|||||||||||||||
zabork|zaborke (LMS 417)|s.|заборкэ|заборка|väliseinä|||||||||||||||
zadač|zadač|s.|задач|задача|tehtävä|||||||||||||||
žadnoi|žadnuoi|a.|жаднуой|жадный|ahne|||||||||||||||
zadornoi|zadornuoi|a.|задорнуой|задорный|innokas, intomielinen|||||||||||||||
zadorzuda||v.||||zadorzun|задорзун|горячусь|innostun|||||||||||
zamask|zamaske (LMS 418)|s.|замаскэ|замазка|kitti|||||||||||||||
zatink|zatinke|s.|затинкэ|норов|luonne|||||||||||||||
zautren'|zautreni|s.|заутрени|утреня|aamupalvelus|||||||||||||||
zaverk|zaverkke (LMS 419)|s.|заверткэ|завертка|saverikko|||||||||||||||
zaves'|zaves'i (LMS 419)|s.|завеси|занавеска|verho|||||||||||||||
zdavaida||v.||||zdavain|сдаваин|сдаю|annan, suoritan|||||||||||
zduač|zduače|s.|сдачэ|сдача|suoritus|||||||||||||||
ženih|žen'ihhe ~ žen'i/h, -hän, -hhäd (LMS 420)|s.|жениххэ|жених|sulhanen|||||||||||||||
žest'|žesti (LMS 420)|s.|жести|жесть|pelti|||||||||||||||
zirkal|zirkalo (LMS 421)|s.|зиркало|зеркало||||||||||||||||
žiäleita||v.||||žiäleičen (LMS 421)|жиялэйчен|жалею|säälin|||||||||||
znuak|znuakke|s.|знаккэ|знак|merkki|||||||||||||||
zobot|zabotte|s.|заботтэ|забота|huoli|||||||||||||||
zobottidakse||v. refl.||||zabotimos|заботимос|забочусь|huolehdin|||||||||||
zontik|zontikke (LMS 421)|s.|зонтиккэ|зонтик|sateenvarjo|||||||||||||||
zor'a|zor'a (LMS 421)|s.|зоря|заря|rusko|||||||||||||||
zual|zuale|s.|залэ|зал, зала|saali|||||||||||||||
žualob||s.||||žualoban pidan|жалобан пидан|жалуюсь, жалобу держу|teen valituksen|||||||||||
žuarida||v.||||žuar'in|жуарин|жарю|paistan|||||||||||
zvier'|zvier'i, -n, -d (LMS 422)|s.|звиэри|зверь|villieläin, peto|||||||||||||||
zvonida|zvon'ida (LMS 422)|v.||звонить|soittaa|zvon'in (LMS 422)|звонин|звоню|soitan|||||||||||
zvonk|zvonke|s.|звонкэ|звонок||||||||||||||||
zvonu|zvonu|s.|звону|звон|soitto|||||||||||||||
äij|äi (LMS 508)|adv.|ай|много|paljon|||||||||||||||
äijäl|äijäl|adv.|айял|сильно, громко||äijäl itken|айял иткэн|сильно рыдаю ||||||||||||
Äijäpäiv|äi/päi|s. yhd.|ай-пяй|Пасха|pääsisäinen|||||||||||||||
Sviižoi|sviižuoi (LMS 412)|s.|свижуой|Воздвижение (14.9./27.9.)|ristin ylentamisen juhla (14.9./27.9.)|||||||||||||||
Raštav|raštav|s.|риштау|Рождество (25.1./7.1.)|joulu (25.1./7.1.) |||||||||||||||
Vederist|vederiste|s.|вэдэристэ|Крещение (6.1./19.1.)|loppiainen (6.1./19.1.)|||||||||||||||
Strietind|str'et'en'i|s.|стретени|Сретение (2.2./15.2.)|Herran temppeliintuominen (2.2./15.2.)|||||||||||||||
Emänpäiv|emäm/päi|s. yhd.|эмян-пяй|Успение (15.8/28.8)|Jumalansynnyttäjän  kuolonuneen nukkuminen (15.8/28.8)|||||||||||||||
Spuasanpäiv|spuasam/päi|s. yhd.|спасан-пяй|Преображение (6.8./19.8.)|Herran kirkastumisen muistopäivä (6.8./19.8.)|||||||||||||||
Vedenij|vedenij|s.|ведений|Введение (21.11./4.12.) |Jumalansynnyttäjän temppeliinkäynti (21.11./4.12.)|||||||||||||||
Stroičanpäiv|stroičam/päi|s. yhd.|сройчан-пяй|Троицын день|helluntai |||||||||||||||
Duuhanpäiv |duuham/päi |s. yhd.|духан-пяй|Духов день|Duuhanpäiv|||||||||||||||
Pedrunpäiv|pedrum/päi|s. yhd.|педрун-пяй|Петров день (29.6./12.7.)|petrunpäivä, apostolien Pietarin ja Paavalin muistojuhla (29.6./12.7.)|||||||||||||||
Ill’anpäiv|il’l’am/päi|s. yhd.|иллян-пяй|Ильин день (20.7./2.8.)|iljanpäivä, Elian päivä (20.7./2.8.) |||||||||||||||
Dürginpäiv|d’ürgim/päi|s. yhd.|дюргин-пяй|Георгиев день, День Святого Георгия (23.4./6.5., 26.11./9.12.)|jyrinpäivä, Pyhän Georgioksen muistopäivä (23.4./6.5., 26.11./9.12.) |||||||||||||||
pühä|pühä (LMS 343)|s.|пюгя|пост|paasto|||||||||||||||
pühäkesk|pühä/keski (LMS 343)|s. yhd.|пюгя-кэски|межговенье|paastojen välinen aika|||||||||||||||
slona|slona|s.|слона|слон|norsu|||||||||||||||
kunič|kun'ičče ~ kun'ič/ču, -un (LMS 170)|s.|куниччэ|куница|näätä|||||||||||||||
Birboi|birbuoi (LMS 17)|s.|бирбуой|Вербное воскресенье|palmusunnuntai|||||||||||||||
Birboipäiv|birbuoi/päiv (LMS 17)|s. yhd.||Вербное воскресенье|palmusunnuntai|||||||||||||||
pestakse||v. refl.||||pezitökse (OFM)||ты мылся, вы мылись|peseydyit, peseydyitte|||||||||||
ezmaine|ezmä/in’e ~ enzimä/ine, -ižen, -šte (LMS 51)|num.|энзимяйнэ|первый|ensimmäinen|||||||||||||||
ezmažarg|enzimäine- ~ enzimän/argi (LMS 51)|s. yhd.|энзимяйнэ арги|понедельник|maanantai|||||||||||||||
toine|toine, toižen, tošte (LMS, 434)  |num.|тойнэ|второй|toinen|||||||||||||||
tožarg|toine/argi (LMS 435)|s. yhd.|тойнэ арги|вторник|tiistai|||||||||||||||
kolmandž|kolma/iž, -nden, -tte (LMS 148) |num.|колмайж|третий|kolmas|||||||||||||||
kolmanpäiv|kolmaiš/päi|s. yhd.|колмайж-пяй|среда|keskiviikko|||||||||||||||
nelländž|nel'l'ä/iž ~ n'el'l'ä/iž, -nden, -tte (LMS, 262) |num.|нэлляйж|третий|neljäs|||||||||||||||
nellänpäiv|nel'läiš/päi|s. yhd.|нэлляйж-пяй|четверг|tostai|||||||||||||||
piätnič|piätn'ičče (LMS 320)|s.|пиятничче|пятница|perjantai|||||||||||||||
suobat|suobatte (LMS 408)|s.|суобаттэ|суббота|lauantai|||||||||||||||
habuk|habukke (LMS 58)|s.|гебуккэ|ястреб|haukka|||||||||||||||
toine|toine, toižen, tošte (LMS, 434)  |pron.|тойнэ|другой|toinen, muu|toižeh sijah ajan|тойжэх сиях аян|переезжаю в другое место|muutan toiseen paikkaan|||||||||||
keijaz|keigä/s, -hän, -st (LMS 120)|s.||копьё (для охоты на медведя)|keihäs, karhunkeihäs |keigähäd||копья|keihäät|||||||||||
kird'|(Lm) kird'/e, -an, -ad (LMS 132)|s.||узор; буква; линия на ладони|ompelukoriste, kudontakoriste, koristepiirros (puuesineissä); kirjain; kämmenen viiva|||||||||||||||
siebr|s'iebr/e ~ (Lm) siebr/e, -an, -ad (LMS 384) |s.||артель, компания, общество|seura, yhtiö|||||||||||||||
nuotsiebr|(Lm) nuotte/siebre (LMS 384) |s. yhd.||рыболовная артель|nuottaseura|||||||||||||||
hang III|hango, -n, -d (LMS 61)|s.|ганго|вилы|hanko|||||||||||||||
hang II|hang/i, -en, -ed (LMS 61)|s.||наст|hanki|||||||||||||||
tuhahine|tuhahine (LMS 450)|num.||тысячный|tuhannes; tuhannen|||||||||||||||
saged|saged, -an, -ad ~ (Lm) sagei (LMS 373)|a.||густой|sakea, tiheä; matala (ääni)|||||||||||||||
tepoi|tepuoi (LMS 429)|s.||кузнечик (крупный)|heinäsirkka (iso)|||||||||||||||
